Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Haven,NTWOW,Nexum EC,13,7,9,4,"Breach,Cypher,Sova,Omen,Jett","Breach,Cypher,Sova,Jett,Astra"
Bind,Team Liquid,Sentinels,13,1,2,1,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,Skye,Tejo"
Abyss,Team Liquid,Sentinels,16,14,6,5,"Cypher,Sova,Omen,Jett,KAY/O","Omen,Jett,Astra,KAY/O,Tejo"
Lotus,Team Liquid,Sentinels,7,13,5,6,"Breach,Cypher,Omen,Yoru,Tejo","Raze,Viper,Omen,Fade,Vyse"
Pearl,WILLYG PALACE,SevenFold,13,10,8,6,"Jett,Astra,Chamber,Fade,Vyse","Sova,Killjoy,Astra,Neon,Iso"
Haven,T1,Trace Esports,13,8,7,6,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Sova,Omen,Jett"
Bind,WILLYG PALACE,SevenFold,13,7,9,4,"Raze,Brimstone,Yoru,Deadlock,Tejo","Raze,Brimstone,Fade,Gekko,Iso"
Lotus,T1,Trace Esports,13,3,4,3,"Raze,Cypher,Sova,Omen,Iso","Raze,Viper,Omen,Fade,Vyse"
Lotus,James Madison University,VVT Premier,5,13,4,5,"Breach,Raze,Omen,Vyse,Tejo","Breach,Raze,Omen,Fade,Vyse"
Haven,James Madison University,VVT Premier,11,13,5,6,"Breach,Raze,Cypher,Clove,Tejo","Breach,Cypher,Sova,Omen,Jett"
Split,James Madison University,Practice Squad,13,9,8,5,"Breach,Raze,Omen,Vyse,Tejo","Raze,Viper,Omen,Skye,Deadlock"
Split,VVT Premier,Scarlet Knights Ruby,14,12,8,7,"Breach,Viper,Omen,Yoru,Tejo","Breach,Raze,Omen,Vyse,Tejo"
Lotus,VVT Premier,Scarlet Knights Ruby,13,7,8,7,"Breach,Raze,Omen,Fade,Vyse","Breach,Raze,Omen,Vyse,Tejo"
Split,WiKeD Esports,RedKnight Sons Black,6,13,3,4,"Breach,Yoru,Astra,Vyse,Tejo","Breach,Raze,Cypher,Omen,Tejo"
Split,Empire Redux,UTRGV,5,13,4,5,"Breach,Raze,Cypher,Omen,Jett","Breach,Raze,Sage,Astra,Tejo"
Haven,James Madison University,Practice Squad,13,6,10,4,"Breach,Raze,Cypher,Clove,Tejo","Breach,Cypher,Sova,Omen,Neon"
Fracture,Overlooked Entertainment,T2G Esports,3,13,3,4,"Breach,Raze,Cypher,Brimstone,Tejo","Breach,Cypher,Brimstone,Neon,Tejo"
Pearl,Exolved Esports,RedKnight Sons Black,6,13,3,4,"Jett,Astra,KAY/O,Fade,Vyse","Sova,Killjoy,Jett,Astra,Vyse"
