Event Name,Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 1 Defending Wins,Team 1 Defending Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 2 Defending Wins,Team 2 Defending Losses,Date,Team 1 Agents,Team 2 Agents
VALORANT Champions 2023 - Group Stage,Split,Paper Rex,KRÜ Esports,13,7,8,4,5,3,3,5,4,8,2023-08-09T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Skye,Astra,Chamber"
VALORANT Champions 2023 - Group Stage,Bind,Evil Geniuses,FUT Esports,13,9,7,3,6,6,6,6,3,7,2023-08-09T00:00:00.000Z,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Viper,Brimstone,KAY/O,Fade"
VALORANT Champions 2023 - Group Stage,Pearl,Evil Geniuses,FUT Esports,15,13,4,10,11,3,3,11,10,4,2023-08-08T00:00:00.000Z,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Viper,Brimstone,Jett,KAY/O"
VALORANT Champions 2023 - Group Stage,Haven,FNATIC,ZETA DIVISION,13,6,7,5,6,1,1,6,5,7,2023-08-08T00:00:00.000Z,"Breach,Sova,Killjoy,Jett,Astra","Raze,Killjoy,Skye,Astra,Chamber"
VALORANT Champions 2023 - Group Stage,Fracture,FNATIC,ZETA DIVISION,13,5,8,4,5,1,1,5,4,8,2023-08-08T00:00:00.000Z,"Breach,Raze,Sova,Killjoy,Brimstone","Breach,Raze,Brimstone,Chamber,Neon"
VALORANT Champions 2023 - Group Stage,Split,NRG Esports,Bilibili Gaming,8,13,4,8,4,5,5,4,8,4,2023-08-08T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Raze,Cypher,Viper,Omen,Skye"
VALORANT Champions 2023 - Group Stage,Lotus,NRG Esports,Bilibili Gaming,12,14,7,6,5,8,8,5,6,7,2023-08-08T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Skye","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Group Stage,Lotus,Natus Vincere,DRX,12,14,6,7,6,7,7,6,7,6,2023-08-08T00:00:00.000Z,"Breach,Raze,Sova,Killjoy,Brimstone","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Group Stage,Split,Natus Vincere,DRX,13,9,7,3,6,6,6,6,3,7,2023-08-08T00:00:00.000Z,"Raze,Cypher,Omen,Jett,Skye","Raze,Killjoy,Viper,Omen,Skye"
VALORANT Champions 2023 - Group Stage,Bind,Natus Vincere,DRX,13,15,4,10,9,5,5,9,10,4,2023-08-07T00:00:00.000Z,"Raze,Viper,Brimstone,Sage,Skye","Raze,Viper,Brimstone,Skye,Yoru"
VALORANT Champions 2023 - Group Stage,Pearl,Evil Geniuses,FunPlus Phoenix,13,8,4,5,9,3,3,9,5,4,2023-08-07T00:00:00.000Z,"Sova,Killjoy,Jett,Astra,KAY/O","Killjoy,Omen,Jett,Skye,Astra"
VALORANT Champions 2023 - Group Stage,Ascent,Evil Geniuses,FunPlus Phoenix,13,8,7,2,6,6,6,6,2,7,2023-08-07T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Killjoy,Omen,Jett,Skye,Astra"
VALORANT Champions 2023 - Group Stage,Haven,FUT Esports,T1,13,7,6,2,7,5,5,7,2,6,2023-08-07T00:00:00.000Z,"Breach,Killjoy,Omen,Jett,Gekko","Breach,Sova,Killjoy,Omen,Jett"
VALORANT Champions 2023 - Group Stage,Pearl,FUT Esports,T1,13,4,4,1,9,3,3,9,1,4,2023-08-07T00:00:00.000Z,"Killjoy,Viper,Brimstone,Jett,KAY/O","Killjoy,Viper,Jett,Skye,Harbor"
VALORANT Champions 2023 - Group Stage,Ascent,DRX,LOUD,13,8,5,4,8,4,4,8,4,5,2023-08-07T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Breach,Viper,Omen,Jett,Fade"
VALORANT Champions 2023 - Group Stage,Split,DRX,LOUD,13,6,5,2,8,4,4,8,2,5,2023-08-06T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Skye","Breach,Raze,Killjoy,Skye,Astra"
VALORANT Champions 2023 - Group Stage,Lotus,DRX,LOUD,13,15,8,6,5,9,9,5,6,8,2023-08-06T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
VALORANT Champions 2023 - Group Stage,Bind,Team Liquid,Natus Vincere,15,17,7,9,8,8,8,8,9,7,2023-08-06T00:00:00.000Z,"Raze,Viper,Skye,Astra,Chamber","Raze,Viper,Brimstone,Skye,Neon"
VALORANT Champions 2023 - Group Stage,Fracture,Team Liquid,Natus Vincere,11,13,6,6,5,7,7,5,6,6,2023-08-06T00:00:00.000Z,"Breach,Sova,Viper,Astra,Neon","Raze,Killjoy,Viper,Omen,Fade"
Champions Tour 2023: Masters Tokyo - Playoffs,Bind,FNATIC,Evil Geniuses,14,12,9,4,5,8,8,5,4,9,2023-06-25T00:00:00.000Z,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Brimstone,Reyna,Skye,Chamber"
Champions Tour 2023: Masters Tokyo - Playoffs,Split,FNATIC,Evil Geniuses,13,11,5,7,8,4,4,8,7,5,2023-06-25T00:00:00.000Z,"Breach,Raze,Cypher,Omen,Skye","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Lotus,FNATIC,Evil Geniuses,13,8,6,6,7,2,2,7,6,6,2023-06-25T00:00:00.000Z,"Raze,Killjoy,Viper,Astra,Fade","Killjoy,Viper,Omen,Jett,Skye"
Champions Tour 2023: Masters Tokyo - Playoffs,Ascent,Evil Geniuses,Paper Rex,13,8,8,4,5,4,4,5,4,8,2023-06-24T00:00:00.000Z,"Sova,Killjoy,Omen,Jett,KAY/O","Sage,Omen,Jett,KAY/O,Fade"
Champions Tour 2023: Masters Tokyo - Playoffs,Pearl,Evil Geniuses,Paper Rex,13,6,6,1,7,5,5,7,1,6,2023-06-24T00:00:00.000Z,"Killjoy,Viper,Jett,Skye,Harbor","Killjoy,Phoenix,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Split,Evil Geniuses,Paper Rex,10,13,2,9,8,4,4,8,9,2,2023-06-24T00:00:00.000Z,"Raze,Viper,Jett,Skye,Astra","Raze,Viper,Jett,Skye,Astra"
Champions Tour 2023: Masters Tokyo - Playoffs,Lotus,Evil Geniuses,Paper Rex,12,14,7,6,5,8,8,5,6,7,2023-06-24T00:00:00.000Z,"Killjoy,Viper,Omen,Jett,Skye","Raze,Cypher,Omen,Skye,Gekko"
Champions Tour 2023: Masters Tokyo - Playoffs,Fracture,Evil Geniuses,Paper Rex,13,7,4,4,9,3,3,9,4,4,2023-06-24T00:00:00.000Z,"Breach,Raze,Sova,Killjoy,Brimstone","Breach,Raze,Killjoy,Brimstone,Neon"
Champions Tour 2023: Masters Tokyo - Playoffs,Bind,NRG Esports,Paper Rex,11,13,7,5,4,8,8,4,5,7,2023-06-21T00:00:00.000Z,"Raze,Viper,Brimstone,Skye,Chamber","Raze,Brimstone,Skye,Harbor,Gekko"
Champions Tour 2023: Masters Tokyo - Playoffs,Lotus,NRG Esports,Paper Rex,13,6,10,2,3,4,4,3,2,10,2023-06-21T00:00:00.000Z,"Raze,Killjoy,Viper,Omen,Skye","Raze,Cypher,Omen,Skye,Gekko"
