Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Bind, Unjustified,Asura Onyx,13,5,5,1,4,8,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Viper,Skye,Fade,Clove"
Ascent,ENVEE Esports,ABG luvrs,13,8,10,2,6,3,"Sova,Killjoy,Omen,Jett,KAY/O","Cypher,Sova,Omen,Jett,KAY/O"
Abyss,Goon that jawn,Team Digital,13,8,7,5,3,6,"Cypher,Sova,Omen,Yoru,Neon","Cypher,Sova,Omen,Jett,KAY/O"
Ascent,BALLZ,Event Horizon,12,14,4,9,5,8,"Sova,Killjoy,Reyna,Omen,Jett","Sova,Killjoy,Omen,Jett,KAY/O"
Pearl,Made in Brampton,Prime (NA),2,13,2,10,3,0,"Raze,Cypher,Phoenix,Chamber,Clove","Cypher,Sova,Viper,Reyna,Astra"
Bind,Non-Verbal,Nearest Airport,11,13,3,9,4,8,"Raze,Brimstone,Fade,Gekko,Deadlock","Raze,Cypher,Omen,Yoru,Deadlock"
Haven,Blackline,OREGON CRACK,3,13,0,4,9,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Jett"
Abyss,FAWZ Purple,Vovin,13,11,10,2,9,3,"Cypher,Sova,Jett,Astra,Gekko","Cypher,Sova,Jett,Yoru,Astra"
Bind,Bobo is Hobo,YDZ Esports,15,13,6,8,5,9,"Raze,Cypher,Sova,Viper,Brimstone","Raze,Viper,Brimstone,Fade,Gekko"
Pearl,Koufs Fun Club,Good Career,13,6,3,4,2,10,"Killjoy,Phoenix,Omen,Jett,Fade","Killjoy,Viper,Yoru,Astra,Fade"
Pearl,Corvus Esports,Boomer Squad,6,13,1,6,7,5,"Sova,Killjoy,Jett,Skye,Astra","Killjoy,Viper,Jett,Harbor,Gekko"
Haven,Blinn Esports,1KRR and Racoone,13,3,10,2,1,3,"Breach,Cypher,Sova,Omen,Neon","Cypher,Omen,Jett,Yoru,Neon"
Haven,SaD Esports,Made in O'Block,13,11,9,3,8,4,"Sova,Jett,Astra,Deadlock,Iso","Breach,Sova,Killjoy,Omen,Neon"
Sunset,Gondal Enjoyers,Boise State University,13,1,11,1,0,2,"Raze,Cypher,Fade,Gekko,Clove","Cypher,Sova,Omen,Yoru,Neon"
Haven,Berzerkers,the gnomes,13,8,5,4,4,8,"Cypher,Sova,Omen,Jett,Yoru","Breach,Sova,Killjoy,Omen,Jett"
Ascent,Shane's Kittens,OC Eagles,5,13,4,8,5,1,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,West Virginia University,Be Like Matt,4,13,2,10,3,2,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Skye,Chamber,Clove"
Sunset,Harmony,Dexterity Gaming,13,15,8,6,9,5,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Sunset,add3r's kittens,Aspyre x Swarm,14,16,9,6,10,5,"Breach,Raze,Cypher,Omen,Gekko","Breach,Cypher,Omen,Neon,Fade"
Ascent, Unjustified,Asura Onyx,13,3,9,3,0,4,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Haven,A Good Team,threehunna,13,4,10,2,2,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Sova,Killjoy,Omen,Jett"
Abyss,Freaky Furries,Ivy League Dropouts,13,7,7,5,2,6,"Cypher,Sova,Jett,Yoru,Astra","Breach,Cypher,Sova,Omen,Jett"
Haven,Koufs Fun Club,Good Career,13,2,11,1,1,2,"Sova,Killjoy,Omen,Jett,Iso","Breach,Cypher,Sova,Omen,Jett"
Pearl,ENVEE Esports,ABG luvrs,11,13,4,8,5,7,"Sova,Killjoy,Jett,Astra,KAY/O","Sova,Killjoy,Astra,Neon,Gekko"
Abyss,Unckies,whats a pretzel,7,13,2,6,7,5,"Cypher,Sova,Omen,Jett,Harbor","Sova,Omen,Jett,Harbor,Deadlock"
Haven,BALLZ,Event Horizon,13,8,5,7,1,8,"Breach,Cypher,Sova,Omen,Neon","Breach,Sova,Killjoy,Omen,Jett"
Pearl,Blinn Esports,1KRR and Racoone,13,4,9,3,1,4,"Killjoy,Viper,Jett,Skye,Harbor","Viper,Yoru,Astra,Fade,Iso"
