Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Lotus,Bleed Esports,DetonatioN FocusMe,9,13,2,5,"Raze,Killjoy,Viper,Omen,Fade","Raze,Killjoy,Viper,Omen,Fade"
Split,Gen.G Esports,DRX,7,13,6,7,"Raze,Viper,Omen,Jett,Skye","Raze,Cypher,Viper,Omen,Skye"
Ascent,Gen.G Esports,DRX,13,9,8,7,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
Bind,Gen.G Esports,DRX,10,13,6,8,"Raze,Cypher,Viper,Brimstone,Skye","Raze,Cypher,Viper,Brimstone,KAY/O"
Icebox,FNATIC,KOI,13,4,8,0,"Sova,Killjoy,Viper,Sage,Jett","Killjoy,Viper,Omen,KAY/O,Gekko"
Bind,FNATIC,KOI,13,11,10,9,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Viper,Brimstone,KAY/O,Gekko"
Ascent,Team Liquid,GIANTX,13,11,4,3,"Cypher,Sova,Viper,Omen,Yoru","Cypher,Sova,Omen,Jett,KAY/O"
Icebox,Team Liquid,GIANTX,13,7,9,4,"Sova,Killjoy,Viper,Jett,Harbor","Killjoy,Viper,KAY/O,Chamber,Gekko"
Lotus,Team Liquid,GIANTX,14,16,8,9,"Breach,Raze,Cypher,Sova,Omen","Raze,Killjoy,Viper,Omen,Fade"
Sunset,Team Vitality,FUT Esports,13,9,6,3,"Raze,Viper,Omen,KAY/O,Gekko","Raze,Cypher,Omen,Gekko,Deadlock"
Icebox,Team Vitality,FUT Esports,13,9,7,6,"Raze,Killjoy,Viper,KAY/O,Gekko","Sova,Viper,Sage,Jett,KAY/O"
Ascent,Team Vitality,FUT Esports,7,13,3,8,"Sova,Killjoy,Omen,Jett,KAY/O","Sova,Killjoy,Omen,Jett,KAY/O"
