Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 2 Attacking Wins,Team 1 Agents,Team 2 Agents
Ascent,2Game Esports,KRÜ Esports,13,6,6,0,"Omen,Jett,KAY/O,Vyse,Tejo","Cypher,Sova,Omen,Yoru,Deadlock"
Icebox,2Game Esports,KRÜ Esports,6,13,4,5,"Killjoy,Viper,Jett,KAY/O,Tejo","Sova,Killjoy,Viper,Jett,Harbor"
Haven,Rex Regum Qeon,ZETA DIVISION,13,9,8,7,"Cypher,Sova,Omen,Yoru,Iso","Breach,Cypher,Omen,Neon,Tejo"
Split,Rex Regum Qeon,ZETA DIVISION,13,6,6,5,"Breach,Viper,Omen,Yoru,Tejo","Breach,Viper,Omen,Yoru,Tejo"
Fracture,Gen.G Esports,DetonatioN FocusMe,13,4,5,4,"Breach,Cypher,Brimstone,Neon,Tejo","Breach,Raze,Brimstone,Vyse,Tejo"
Lotus,Gen.G Esports,DetonatioN FocusMe,13,2,3,2,"Raze,Viper,Omen,Fade,Vyse","Raze,Viper,Omen,Fade,Vyse"
Split,100 Thieves,LOUD,13,8,6,5,"Breach,Raze,Sage,Astra,Tejo","Breach,Raze,Viper,Omen,Tejo"
Icebox,100 Thieves,LOUD,13,11,10,9,"Sova,Killjoy,Viper,Jett,Gekko","Sova,Killjoy,Viper,Reyna,Tejo"
Haven,100 Thieves,LOUD,6,13,2,8,"Cypher,Sova,Omen,Neon,Iso","Breach,Cypher,Omen,Neon,Tejo"
Pearl,Evil Geniuses,Sentinels,6,13,5,6,"Jett,Yoru,Astra,Vyse,Tejo","Yoru,Astra,Fade,Vyse,Tejo"
Haven,Evil Geniuses,Sentinels,4,13,2,10,"Breach,Cypher,Sova,Omen,Waylay","Breach,Cypher,Sova,Omen,Neon"
Icebox,KOI,Karmine Corp,12,14,6,7,"Sova,Killjoy,Viper,Iso,Tejo","Killjoy,Viper,Omen,KAY/O,Tejo"
Lotus,KOI,Karmine Corp,2,13,0,10,"Cypher,Omen,Yoru,Vyse,Tejo","Omen,Yoru,Fade,Harbor,Vyse"
Haven,Team Vitality,FNATIC,10,13,9,10,"Cypher,Sova,Omen,Yoru,Iso","Cypher,Sova,Omen,Yoru,Iso"
Lotus,Team Vitality,FNATIC,6,13,2,8,"Breach,Viper,Omen,Yoru,Tejo","Raze,Killjoy,Viper,Omen,Fade"
Split,Team Vitality,FNATIC,18,16,6,5,"Breach,Cypher,Omen,Yoru,Tejo","Raze,Viper,Yoru,Astra,Fade"
Lotus,Team Heretics,GIANTX,13,8,5,4,"Breach,Omen,Neon,Vyse,Tejo","Raze,Viper,Omen,Fade,Vyse"
Split,Team Heretics,GIANTX,11,13,1,2,"Raze,Viper,Omen,Fade,Iso","Breach,Cypher,Omen,Yoru,Tejo"
