Map Name,Team 1 Name,Team 2 Name,Team 1 Score,Team 2 Score,Team 1 Attacking Wins,Team 1 Attacking Losses,Team 2 Attacking Wins,Team 2 Attacking Losses,Team 1 Agents,Team 2 Agents
Haven,JiJieHao Bonkers,FOCUSGG,13,10,7,4,6,6,"Breach,Cypher,Sova,Omen,Neon","Breach,Sova,Killjoy,Neon,Clove"
Bind,Kebab Clan,FOCUSGG,13,15,3,11,4,10,"Raze,Cypher,Brimstone,Skye,Yoru","Raze,Cypher,Brimstone,Skye,Neon"
Ascent,Kebab Clan,FOCUSGG,12,14,6,7,7,6,"Cypher,Sova,Omen,Jett,KAY/O","Cypher,Sova,Reyna,Omen,Jett"
Sunset,Kebab Clan,FOCUSGG,11,13,5,7,6,6,"Cypher,Sova,Omen,KAY/O,Neon","Breach,Raze,Cypher,Omen,Neon"
Sunset,マジスク学園卓球部,VoL,12,14,6,7,7,6,"Breach,Raze,Cypher,Sova,Omen","Raze,Cypher,Sova,Omen,Gekko"
Haven,マジスク学園卓球部,VoL,13,8,7,2,6,6,"Breach,Cypher,Sova,Omen,Jett","Breach,Sova,Killjoy,Omen,Jett"
Ascent,マジスク学園卓球部,VoL,7,13,3,5,8,4,"Sova,Killjoy,Phoenix,Omen,Jett","Sova,Killjoy,Omen,Jett,KAY/O"
Sunset,Hornswogglers,FOCUSGG,3,13,1,3,10,2,"Breach,Raze,Cypher,Omen,Neon","Breach,Raze,Cypher,Omen,Neon"
Abyss,Hornswogglers,FOCUSGG,5,13,1,5,8,4,"Cypher,Sova,Jett,Yoru,Astra","Cypher,Sova,Omen,Neon,Clove"
Sunset,VoL,男が先に前出ろ,13,9,5,5,4,8,"Raze,Cypher,Sova,Omen,Gekko","Sova,Phoenix,Omen,Jett,Chamber"
Abyss,Kebab Clan,JiJieHao Bonkers,7,13,4,8,5,3,"Breach,Cypher,Sova,Yoru,Astra","Sova,Omen,Jett,Yoru,Astra"
Bind,VoL,男が先に前出ろ,13,4,8,4,0,5,"Raze,Cypher,Brimstone,Jett,Skye","Raze,Yoru,Chamber,Gekko,Clove"
Haven,Kebab Clan,JiJieHao Bonkers,6,13,3,4,9,3,"Breach,Cypher,Sova,Omen,Neon","Breach,Cypher,Sova,Omen,Neon"
Sunset,彡(ﾟ)(ﾟ) グエー新団子,男が先に前出ろ,10,13,4,7,6,6,"Breach,Cypher,Sova,Omen,Jett","Sova,Phoenix,Omen,Jett,Chamber"
Bind,彡(ﾟ)(ﾟ) グエー新団子,男が先に前出ろ,13,11,3,9,2,10,"Raze,Viper,Brimstone,Skye,Gekko","Raze,Yoru,Chamber,Gekko,Clove"
Haven,彡(ﾟ)(ﾟ) グエー新団子,男が先に前出ろ,9,13,2,8,5,7,"Breach,Sova,Killjoy,Jett,Astra","Breach,Sova,Omen,Jett,Chamber"
